full_webcnp_(January_2020),Definition,Test,Field Type,Notes
PVTB.PVTB_STDEV_RRT,Standard Deviation of Reciprocal Response Time (1000/ms)),PVT-B,float,
PVTB.PVTB_MEAN_F10PC_RT,Mean of Fastest 10% Response Times (ms),PVT-B,float,
PVTB.PVTB_STDEV_F10PC_RT,Standard Deviation of Fastest 10% Response Times (ms),PVT-B,float,
PVTB.PVTB_MEAN_S10PC_RRT,Mean of Slowest 10% Reciprocal Response Times (ms),PVT-B,float,
PVTB.PVTB_STDEV_S10PC_RRT,Standard Deviation of Slowest 10% Reciprocal Response Times (ms),PVT-B,float,
PVTB.PVTB_355MS_LAP,Number of Response Times that are >= 355 ms ,PVT-B,integer,0-200 | Null
PVTB.PVTB_355MS_LAPPROB,Number of 355 ms lapses divided by number of valid stimuli,PVT-B,float,
PVTB.PVTB_355MS_LAP_RT,Cumuluative Lapse Time (ms) for 355 ms lapses,PVT-B,float,
PVTB.PVTB_500MS_LAP,Number of Response Times that are >= 500 ms ,PVT-B,integer,0-200 | Null
PVTB.PVTB_500MS_LAPPROB,Number of 500 ms lapses divided by number of valid stimuli,PVT-B,float,
PVTB.PVTB_500MS_LAP_RT,Cumuluative Lapse Time (ms) for 500 ms lapses,PVT-B,float,
PVTB.PVTB_CFS,Number of Coincidental False Starts,PVT-B,integer,0-200 | Null
PVTB.PVTB_FS,Number of False Starts,PVT-B,integer,0-200 | Null
PVTB.PVTB_CERR,Errors of Commission (False Starts + Coincidental False Starts),PVT-B,integer,
PVTB.PVTB_BS,Count of Button Stuck Events,PVT-B,integer,0-200 | Null
PVTB.PVTB_TO,Total Number of Time Outs,PVT-B,integer,0-200 | Null
PVTB.PVTB_ERR,Total Number of Errors,PVT-B,integer,0-200 | Null
PVTB.PVTB_PS,PVTB PS = (1-(PVTB_355MS_LAP + PVTB_500MS_LAP + PVTB_CFS+PVTB_FS)/(PVTB_CR + PVTB_CFS+PVTB_FS)),PVT-B,float,
PVTB.PVTB_NP_INST,Did you understand the instructions?,PVT-B,integer,
PVTB.PVTB_NP_DIFF,Did you have difficulty completing the tests?,PVT-B,integer,
PVTB.PVTB_NP_DIFF_PROB1,Computer malfunction/technical difficulty,PVT-B,integer,
PVTB.PVTB_NP_DIFF_PROB2,I was confused,PVT-B,integer,
PVTB.PVTB_NP_DIFF_PROB3,I was distracted,PVT-B,integer,
PVTB.PVTB_NP_DIFF_PROB4,I was tired,PVT-B,integer,
PVTB.PVTB_NP_DIFF_PROB5,I was frustrated,PVT-B,integer,
SPCPTNL.test,Test Name,SPCPTNL,string,
SPCPTNL.ScorVers,Current Programming Version of the Scoring Code,SPCPTNL,float,
SPCPTNL.skipped,Test Skipped Flag (1=yes),SPCPTNL,integer,1 | Null
SPCPTNL.starttime,Test Start Time,SPCPTNL,date / time (timestamp),
SPCPTNL.endtime,Test End Time,SPCPTNL,date / time (timestamp),
SPCPTNL.status,Test Status Code (assigned by assessor),SPCPTNL,string,C1 | C2 | C3 | I1 | I2 | I3 | T | C | I
SPCPTNL.valid_code,Test Automted Validation Code,SPCPTNL,string,
SPCPTNL.validator,Validator,SPCPTNL,string,
SPCPTNL.valid_ts,Validation Time Stamp,SPCPTNL,date / time (timestamp),
SPCPTNL.comment,Test Status Comment (entered by assessor),SPCPTNL,string,
SPCPTNL.SCPN_TP,Total True Positive Number Responses,SPCPTNL,integer,0-30 | Null
SPCPTNL.SCPN_FP,Total False Positive Number Responses,SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPN_TN,Total True Negative Number Responses,SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPN_FN,Total False Negative Number Responses,SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPN_TPRT,Median Response Time for True Positive Number Responses (ms),SPCPTNL,float,
SPCPTNL.SCPN_FPRT,Median Response Time for False Positive Number Responses (ms),SPCPTNL,float,
SPCPTNL.SCPL_TP,Total True Positive Letter Responses,SPCPTNL,integer,0-30 | Null
SPCPTNL.SCPL_FP,Total False Positive Letter Responses,SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPL_TN,Total True Negative Letter Responses,SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPL_FN,Total False Negative Letter Responses,SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPL_TPRT,Median Response Time for True Positive Letter Responses (ms),SPCPTNL,float,
SPCPTNL.SCPL_FPRT,Median Response Time for False Positive Letter Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_FN,Total False Negative Responses (Number FN + Letter FN),SPCPTNL,integer,0-120 | Null
SPCPTNL.SCPT_FP,Total False Positive Responses (Number FP + Letter FP),SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPT_TP,Total True Positive Responses (Number TP + Letter TP),SPCPTNL,integer,0-60 | Null
SPCPTNL.SCPT_TN,Total True Negative Responses (Number TN + Letter TN),SPCPTNL,integer,0-120 | Null
SPCPTNL.SCPT_TPRT,Median Response Time for All True Positive (Number & Letter) Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_TPRT_MEAN,Mean Response Time for True Positive Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_TPRT_STDEV,Standard Deviation of Response Time for True Positive Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_FPRT,Median Response Time for All False Positive (Number & Letter) Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_FPRT_MEAN,Mean Response Time for False Positive Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_FPRT_STDEV,Standard Deviation of Response Time for False Positive Responses (ms),SPCPTNL,float,
SPCPTNL.SCPN_RT,Median Response Time for All Number Responses (ms),SPCPTNL,float,
SPCPTNL.SCPL_RT,Median Response Time for All Letter Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_RT,Median Response Time for All Test Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_RT_MEAN,Mean Response Time for All Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_RT_STDEV,Standard Deviation of Response Time for All Responses (ms),SPCPTNL,float,
SPCPTNL.SCPT_SEN,Sensitivity = SCPT_TP/(SCPT_TP + SCPT_FN),SPCPTNL,float,
SPCPTNL.SCPT_SPEC,Specificity = SCPT_TN/(SCPT_TN + SCPT_FP),SPCPTNL,float,
SPCPTNL.SCPT_REV_FP,Total Reversed Number/Letter False Positives,SPCPTNL,integer,
SPCPTNL.SCPT_REV_FPRT,Median Response Time for Reversed Number/Letter False Positives (ms),SPCPTNL,float,
SPCPTNL.SCPT_REV_FN,Total Reversed Number/Letter False Negatives ,SPCPTNL,integer,
SPCPTNL.SCPT_FRNR,Final Run of Non-Responses,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_CNT_200,Count of Responses under 200 ms,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_LRSR,Longest Run of Same Responses,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_LRNR,Longest Run of Non-Responses,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_LRSR_200,Longest Run of Same Responses under 200 ms,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_LRR,Longest Run of Responses,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_LRR_200,Longest Run of Responses under 200 ms,SPCPTNL,integer,0-180 | Null
SPCPTNL.SPCPTNL_NP_INST,Did you understand the instructions?,SPCPTNL,integer,
SPCPTNL.SPCPTNL_NP_DIFF,Did you have difficulty completing the tests?,SPCPTNL,integer,
SPCPTNL.SPCPTNL_NP_DIFF_PROB1,Computer malfunction/technical difficulty,SPCPTNL,integer,
SPCPTNL.SPCPTNL_NP_DIFF_PROB2,I was confused,SPCPTNL,integer,
SPCPTNL.SPCPTNL_NP_DIFF_PROB3,I was distracted,SPCPTNL,integer,
SPCPTNL.SPCPTNL_NP_DIFF_PROB4,I was tired,SPCPTNL,integer,
SPCPTNL.SPCPTNL_NP_DIFF_PROB5,I was frustrated,SPCPTNL,integer,
CPF_A.test,Test Name,CPF,string,
CPF_A.ScorVers,Current Programming Version of the Scoring Code,CPF,float,
CPF_A.skipped,Test Skipped Flag (1=yes),CPF,integer,1 | Null
CPF_A.starttime,Test Start Time,CPF,date / time (timestamp),
CPF_A.endtime,Test End Time,CPF,date / time (timestamp),
CPF_A.status,Test Status Code (assigned by assessor),CPF,string,C1 | C2 | C3 | I1 | I2 | I3 | T | C | I
CPF_A.valid_code,Test Automted Validation Code,CPF,string,
CPF_A.validator,Validator,CPF,string,
CPF_A.valid_ts,Validation Time Stamp,CPF,date / time (timestamp),
CPF_A.comment,Test Status Comment (entered by assessor),CPF,string,
CPF_A.CPF_CR,Total Correct Responses,CPF,integer,0-40 | Null
CPF_A.CPF_RTCR,Median Total Correct Response Time (ms),CPF,float,
CPF_A.CPF_W_RTCR,"Weighted Median Response Time for Correct Responses (mean of TPRT, TNRT)",CPF,float,
CPF_A.CPF_ER,Total Incorrect Responses,CPF,integer,0-40 | Null
CPF_A.CPF_RTER,Median Total Incorrect Response Time (ms),CPF,float,
CPF_A.CPF_W_RTER,"Weighted Median Response Time for Incorrect Responses (mean of FPRT, FNRT)",CPF,float,
CPF_A.CPF_RT,Median Response Time for All Responses,CPF,float,
CPF_A.CPF_TP,Total True Positive Responses,CPF,integer,0-20 | Null
CPF_A.CPF_TN,Total True Negative Responses,CPF,integer,0-20 | Null
CPF_A.CPF_TPRT,Median Response Time for True Positive Responses (ms),CPF,float,
CPF_A.CPF_TNRT,Median Response Time for True Negative Responses (ms),CPF,float,
CPF_A.CPF_FP,Total False Positive Responses,CPF,integer,0-20 | Null
CPF_A.CPF_FN,Total False Negative Responses,CPF,integer,0-20 | Null
CPF_A.CPF_FPRT,Median Response Time for False Positive Responses (ms),CPF,float,
CPF_A.CPF_FNRT,Median Response Time for False Negative Responses (ms),CPF,float,
CPF_A.CPF_DY,Definitely Yes Responses,CPF,integer,0-40 | Null
CPF_A.CPF_DN,Definitely No Responses,CPF,integer,0-40 | Null
CPF_A.CPF_PY,Probably Yes Responses,CPF,integer,0-40 | Null
CPF_A.CPF_PN,Probably No Responses,CPF,integer,0-40 | Null
CPF_A.CPF_DTP,True Positives - Definitely,CPF,integer,0-20 | Null
CPF_A.CPF_PTP,True Positives - Probably,CPF,integer,0-20 | Null
CPF_A.CPF_DTN,True Negatives - Definitely,CPF,integer,0-20 | Null
CPF_A.CPF_PTN,True Negatives - Probably,CPF,integer,0-20 | Null
CPF_A.CPF_DFP,False Positives - Definitely,CPF,integer,0-20 | Null
CPF_A.CPF_PFP,False Positives - Probably,CPF,integer,0-20 | Null
CPF_A.CPF_DFN,False Negatives - Definitely,CPF,integer,0-20 | Null
CPF_A.CPF_PFN,False Negatives - Probably,CPF,integer,0-20 | Null
CPF_A.CPF_CNT_200,Count of Responses under 200 ms,CPF,integer,0-40 | Null
CPF_A.CPF_LRSR,Longest Run of Same Responses,CPF,integer,0-40 | Null
CPF_A.CPF_LRSR_200,Longest Run of Same Responses under 200 ms,CPF,integer,0-40 | Null
CPF_A.CPF_NP_INST,Did you understand the instructions?,CPF,integer,
CPF_A.CPF_NP_DIFF,Did you have difficulty completing the tests?,CPF,integer,
CPF_A.CPF_NP_DIFF_PROB1,Computer malfunction/technical difficulty,CPF,integer,
CPF_A.CPF_NP_DIFF_PROB2,I was confused,CPF,integer,
CPF_A.CPF_NP_DIFF_PROB3,I was distracted,CPF,integer,
CPF_A.CPF_NP_DIFF_PROB4,I was tired,CPF,integer,
CPF_A.CPF_NP_DIFF_PROB5,I was frustrated,CPF,integer,
CPW_A.test,Test Name,CPW,string,
CPW_A.ScorVers,Current Programming Version of the Scoring Code,CPW,float,
CPW_A.skipped,Test Skipped Flag (1=yes),CPW,integer,1 | Null
CPW_A.starttime,Test Start Time,CPW,date / time (timestamp),
CPW_A.endtime,Test End Time,CPW,date / time (timestamp),
CPW_A.status,Test Status Code (assigned by assessor),CPW,string,C1 | C2 | C3 | I1 | I2 | I3 | T | C | I
CPW_A.valid_code,Test Automted Validation Code,CPW,string,
CPW_A.validator,Validator,CPW,string,
CPW_A.valid_ts,Validation Time Stamp,CPW,date / time (timestamp),
CPW_A.comment,Test Status Comment (entered by assessor),CPW,string,
CPW_A.CPW_CR,Total Correct Responses (TP + TN),CPW,integer,0-40 | Null
CPW_A.CPW_RTCR,Median Response Time for CPW Total Correct Responses (ms),CPW,float,
CPW_A.CPW_W_RTCR,"Weighted Median Response Time for Correct Responses (mean of TPRT, TNRT)",CPW,float,
CPW_A.CPW_ER,Total Incorrect Responses,CPW,integer,0-20 | Null
CPW_A.CPW_RTER,Median Total Incorrect Response Time (ms),CPW,float,
CPW_A.CPW_W_RTER,"Weighted Median Response Time for Incorrect Responses (mean of FPRT, FNRT)",CPW,float,
CPW_A.CPW_RT,Median Response Time for All Responses,CPW,float,
CPW_A.CPW_TP,Total True Positive Responses,CPW,integer,0-20 | Null
CPW_A.CPW_TN,Total True Negative Responses,CPW,integer,0-20 | Null
CPW_A.CPW_TPRT,Total False Positive Responses,CPW,integer,0-20 | Null
CPW_A.CPW_TNRT,Total False Negative Responses,CPW,integer,0-20 | Null
CPW_A.CPW_FP,Median Response Time for True Positive Responses (ms),CPW,float,
CPW_A.CPW_FN,Median Response Time for True Negative Responses (ms),CPW,float,
CPW_A.CPW_FPRT,Median Response Time for False Positive Responses (ms),CPW,float,
CPW_A.CPW_FNRT,Median Response Time for False Negative Responses (ms),CPW,float,
CPW_A.CPW_DY,"Total ""Definitley Yes"" Responses",CPW,integer,0-40 | Null
CPW_A.CPW_DN,"Total ""Definitley No"" Responses",CPW,integer,0-40 | Null
CPW_A.CPW_PY,"Total ""Probably Yes"" Responses",CPW,integer,0-40 | Null
CPW_A.CPW_PN,"Total ""Probably No"" Responses",CPW,integer,0-40 | Null
CPW_A.CPW_DTP,True Positives - Definitely,CPW,integer,0-20 | Null
CPW_A.CPW_PTP,True Positives - Probably,CPW,integer,0-20 | Null
CPW_A.CPW_DTN,True Negatives - Definitely,CPW,integer,0-20 | Null
CPW_A.CPW_PTN,True Negatives - Probably,CPW,integer,0-20 | Null
CPW_A.CPW_DFP,False Positives - Definitely,CPW,integer,0-20 | Null
CPW_A.CPW_PFP,False Positives - Probably,CPW,integer,0-20 | Null
CPW_A.CPW_DFN,False Negatives - Definitely,CPW,integer,0-20 | Null
CPW_A.CPW_PFN,False Negatives - Probably,CPW,integer,0-20 | Null
CPW_A.CPW_CNT_200,Count of Responses under 200 ms,CPW,integer,0-40 | Null
CPW_A.CPW_LRSR,Longest Run of Same Responses,CPW,integer,0-40 | Null
CPW_A.CPW_LRSR_200,Longest Run of Same Responses under 200 ms,CPW,integer,0-40 | Null
SLNB2_90.test,Test Name,SLNB2,string,0-180 | Null
SLNB2_90.ScorVers,Current Programming Version of the Scoring Code,SLNB2,float,
SLNB2_90.skipped,Test Skipped Flag (1=yes),SLNB2,integer,1 | Null
SLNB2_90.starttime,Test Start Time,SLNB2,date / time (timestamp),
SLNB2_90.endtime,Test End Time,SLNB2,date / time (timestamp),
SLNB2_90.status,Test Status Code (assigned by assessor),SLNB2,string,C1 | C2 | C3 | I1 | I2 | I3 | T | C | I
SLNB2_90.valid_code,Test Automted Validation Code,SLNB2,string,
SLNB2_90.validator,Validator,SLNB2,string,
SLNB2_90.valid_ts,Validation Time Stamp,SLNB2,date / time (timestamp),
SLNB2_90.comment,Test Status Comment (entered by assessor),SLNB2,string,
SLNB2_90.SLNB2_TP,Total True Positive Responses,SLNB2,integer,0-30
SLNB2_90.SLNB2_FP,Total False Positive Responses,SLNB2,integer,0-30
SLNB2_90.SLNB2_RTC,Median Response Time for Correct Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_MCR,Total True Positive 1-Back & 2-Back Responses,SLNB2,integer,0-20
SLNB2_90.SLNB2_MRTC,Median Response Time for Correct 1-Back & 2-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_TP0,Total True Positive 0-Back Responses,SLNB2,integer,0-10
SLNB2_90.SLNB2_FP0,Total False Positive 0-Back Responses,SLNB2,integer,0-10
SLNB2_90.SLNB2_RTC0,Median Response Time for True Positive 0-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_FPRT0,Median Response Time for False Positive 0-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_RT0,Median Response Time for All 0-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_TP1,Total True Positive 1-Back Responses,SLNB2,integer,0-10
SLNB2_90.SLNB2_FP1,Total False Positive 1-Back Responses,SLNB2,integer,0-10
SLNB2_90.SLNB2_RTC1,Median Response Time for True Positive 1-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_FPRT1,Median Response Time for False Positive 1-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_RT1,Median Response Time for All 1-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_TP2,Total True Positive 2-Back Responses,SLNB2,integer,0-10
SLNB2_90.SLNB2_FP2,Total False Positive 2-Back Responses,SLNB2,integer,0-10
SLNB2_90.SLNB2_RTC2,Median Response Time for True Positive 2-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_FPRT2,Median Response Time for False Positive 2-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_RT2,Median Response Time for All 2-Back Responses (ms),SLNB2,float,
SLNB2_90.SLNB2_CNT_200,Total Count of Responses under 200 ms,SLNB2,integer,0-90
SLNB2_90.SLNB2_LRNR,Longest Run of Non-Responses,SLNB2,integer,0-90
SLNB2_90.SLNB2_LRR,Longest Run of Responses,SLNB2,integer,0-90
SLNB2_90.SLNB2_LRR_200,Longest Run of Responses under 200 ms,SLNB2,integer,0-90
SLNB2_90.SLNB2_FRNR,Final Run of Non-Responses,SLNB2,integer,0-90
PCET_A.test,Test Name,PCET,string,
PCET_A.ScorVers,Current Programming Version of the Scoring Code,PCET,float,
PCET_A.skipped,Test Skipped Flag (1=yes),PCET,integer,1 | Null
PCET_A.starttime,Test Start Time,PCET,date / time (timestamp),
PCET_A.endtime,Test End Time,PCET,date / time (timestamp),
PCET_A.status,Test Status Code (assigned by assessor),PCET,string,C1 | C2 | C3 | I1 | I2 | I3 | T | C | I
PCET_A.valid_code,Test Automted Validation Code,PCET,string,
PCET_A.validator,Validator,PCET,string,
PCET_A.valid_ts,Validation Time Stamp,PCET,date / time (timestamp),
PCET_A.comment,Test Status Comment (entered by assessor),PCET,string,
PCET_A.PCET_CR,PCET Number of Correct Responses,PCET,integer,0-144
PCET_A.PCET_RTCR,PCET Median Response Time for Correct Responses (ms),PCET,float,
PCET_A.PCET_ER,PCET Number of Incorrect Responses,PCET,integer,0-144
PCET_A.PCET_RTER,PCET Median Response Time for Incorrect Responses (ms),PCET,float,
PCET_A.PCET_NUM,PCET Total Number of Trials,PCET,integer,
PCET_A.PCET_RT,Median Response Time for All Test Responses (ms),PCET,float,
PCET_A.PCET_CAT,Number of PCET Categories Achieved,PCET,integer,0 | 1 | 2 | 3
PCET_A.PCET_WIS_PER_ER,PCET Number of Perseverative Errors,PCET,integer,0-144
PCET_A.PCET_WIS_PER_RES,PCET Perseverative Errors Plus Correct Perseverative Responses,PCET,integer,0-144
PCET_A.PCET_WIS_CLEVEL_RES,PCET Concept Level Responses,PCET,integer,
PCET_A.PCET_WIS_FMS,PCET Count of Failures to Maintain Set,PCET,integer,
PCET_A.PCET_CAT1_TR,PCET Number of Trials Required to Achieve Category 1,PCET,integer,0-144
PCET_A.PCET_CAT2_TR,PCET Number of Trials Required to Achieve Category 2,PCET,integer,0-144
PCET_A.PCET_CAT3_TR,PCET Number of Trials Required to Achieve Category 3,PCET,integer,0-144
PCET_A.PCET_ACC2,PCET Accuracy2 = (PCET_CAT + 1) * PCET_CR/(PCET_CR +PCET_ER),PCET,float,1.00-4.00
PCET_A.PCET_CNT_750,Count of Responses under 750 ms,PCET,integer,0-144
PCET_A.PCET_LRR_750,Longest Run of Responses under 750 ms,PCET,integer,0-144
PCET_A.PCET_LRSR,Longest Run of Same Responses,PCET,integer,0-144
PCET_A.PCET_LRSR_750,Longest Run of Same Responses under 750 ms,PCET,integer,0-144
PCET_A.PCET_NP_INST,Did you understand the instructions?,PCET,integer,
PCET_A.PCET_NP_DIFF,Did you have difficulty completing the tests?,PCET,integer,
PCET_A.PCET_NP_DIFF_PROB1,Computer malfunction/technical difficulty,PCET,integer,
PCET_A.PCET_NP_DIFF_PROB2,I was confused,PCET,integer,
PCET_A.PCET_NP_DIFF_PROB3,I was distracted,PCET,integer,
PCET_A.PCET_NP_DIFF_PROB4,I was tired,PCET,integer,
PCET_A.PCET_NP_DIFF_PROB5,I was frustrated,PCET,integer,
SLNB12_60.test,Test Name,SLNB12,SLNB2,string
SLNB12_60.ScorVers,Current Programming Version of the Scoring Code,SLNB12,SLNB2,float
SLNB12_60.skipped,Test Skipped Flag (1=yes),SLNB12,SLNB2,integer
SLNB12_60.starttime,Test Start Time,SLNB12,SLNB2,date / time (timestamp)
SLNB12_60.endtime,Test End Time,SLNB12,SLNB2,date / time (timestamp)
SLNB12_60.status,Test Status Code (assigned by assessor),SLNB12,SLNB2,string
SLNB12_60.valid_code,Test Automted Validation Code,SLNB12,SLNB2,string
SLNB12_60.validator,Validator,SLNB12,SLNB2,string
SLNB12_60.valid_ts,Validation Time Stamp,SLNB12,SLNB2,date / time (timestamp)
SLNB12_60.comment,Test Status Comment (entered by assessor),SLNB12,SLNB2,string
SLNB12_60.SLNB2_TP,Total True Positive Responses,SLNB12,integer,20
SLNB12_60.SLNB2_FP,Total False Positive Responses,SLNB12,integer,40
SLNB12_60.SLNB2_RTC,Median Response Time for Correct Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_MCR,Total True Positive 1-Back & 2-Back Responses,SLNB12,integer,20
SLNB12_60.SLNB2_MRTC,Median Response Time for Correct 1-Back & 2-Back Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_TP1,Total True Positive 1-Back Responses,SLNB12,integer,10
SLNB12_60.SLNB2_FP1,Total False Positive 1-Back Responses,SLNB12,integer,20
SLNB12_60.SLNB2_RTC1,Median Response Time for True Positive 1-Back Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_FPRT1,Median Response Time for False Positive 1-Back Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_RT1,Median Response Time for All 1-Back Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_TP2,Total True Positive 2-Back Responses,SLNB12,integer,10
SLNB12_60.SLNB2_FP2,Total False Positive 2-Back Responses,SLNB12,integer,20
SLNB12_60.SLNB2_RTC2,Median Response Time for True Positive 2-Back Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_FPRT2,Median Response Time for False Positive 2-Back Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_RT2,Median Response Time for All 2-Back Responses (ms),SLNB12,float,
SLNB12_60.SLNB2_CNT_200,Total Count of Responses under 200 ms,SLNB12,integer,0-60
SLNB12_60.SLNB2_LRNR,Longest Run of Non-Responses,SLNB12,integer,0-60
SLNB12_60.SLNB2_LRR,Longest Run of Responses,SLNB12,integer,0-60
SLNB12_60.SLNB2_LRR_200,Longest Run of Responses under 200 ms,SLNB12,integer,0-60
SLNB12_60.SLNB2_FRNR,Final Run of Non-Responses,SLNB12,integer,0-60
SLNB12_60.SLNB2_NP_INST,Did you understand the instructions?,SLNB12,integer,
SLNB12_60.SLNB2_NP_DIFF,Did you have difficulty completing the tests?,SLNB12,integer,
SLNB12_60.SLNB2_NP_DIFF_PROB1,Computer malfunction/technical difficulty,SLNB12,integer,
SLNB12_60.SLNB2_NP_DIFF_PROB2,I was confused,SLNB12,integer,
SLNB12_60.SLNB2_NP_DIFF_PROB3,I was distracted,SLNB12,integer,
SLNB12_60.SLNB2_NP_DIFF_PROB4,I was tired,SLNB12,integer,
SLNB12_60.SLNB2_NP_DIFF_PROB5,I was frustrated,SLNB12,integer,
PVTB.PVTB_QID000001_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000001_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000001_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000001_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000002_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000002_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000002_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000002_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000003_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000003_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000003_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000003_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000004_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000004_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000004_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000004_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000005_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
