folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Demographics,dem_0100,Participant's year of birth,"",integer,"","","","","",""
Demographics,dem_0500,Participant's sex,"",choices,"",sex,"","",true,""
Demographics,dem_0900,Participant's ethnicity (hispanic or latino),"",choices,"",noyes,"","",true,""
Demographics,dem_0910,Participant's ethnicity (sub hispanic or latino origin),"",choices,"",hisorigin,"","",true,""
Demographics,dem_1000,Participant's race (main),"",choices,"",race,"","",true,""
Demographics,dem_1010,Participant's race (sub),"",choices,"",subrace,"","","",""
Demographics,modified_dem_0110,Participant's age,"",integer,"","","","",true,""
General Health/Fatigue Severity Scale (FSS),fss_0100,Fatigue Severity Scale: Motivation is lower when fatigued,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_01motivation,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0200,Fatigue Severity Scale: Exercise brings on fatigue,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_02exercise,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0300,Fatigue Severity Scale: I am easily fatigued,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_03easily,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0400,Fatigue Severity Scale: Fatigue interferes with physical functioning,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_04function,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0500,Fatigue Severity Scale: Fatigue causes frequent problems for me,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_05problems,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0600,Fatigue Severity Scale: My fatigue prevents sustained physical functioning,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_06sustain,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0700,Fatigue Severity Scale: Fatigue interferes with carrying out certain duties and responsibilities,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_07duties,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0800,Fatigue Severity Scale: Fatigue is among my three most disabling symptoms,"Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_08symptom,"","",""
General Health/Fatigue Severity Scale (FSS),fss_0900,"Fatigue Severity Scale: Fatigue interferes with my work, family, or social life","Item from the Fatigue Severity Scale. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/)<br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",choices,"",fsslikert,fss;fss_09life,"","",""
General Health/Fatigue Severity Scale (FSS),fss_1000,Fatigue Severity Scale: Total Score,"Calculated - Total score based on a 9-item questionnsiares assessing how fatigue interferes with certain activities and its severity. [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/) Scale 1 - 7 for individual items; 7 - 63 for overall score. Higher score indicates greater fatigue severity, while 36 indicates fatigue. <br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",integer,"","",fss;fss_total,FSS Total = fss_0100+fss_0200+fss_0300+fss_0400+fss_0500+fss_0600+fss_0700+fss_0800+fss_0900,"",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0100,"Generalized Anxiety Disorder-7 Questionnaire: Feeling nervous, anxious, or on edge ","Item from the GAD-7 Questionnaire. [Spitzer et al, 2006 (PubMed ID: 16717171)](https://pubmed.ncbi.nlm.nih.gov/16717171/)<br><br>[Search for all GAD-7 Questionnaire variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=gad7)",choices,"",gad,gad7;gad7_01nervous,"","",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0200,Generalized Anxiety Disorder-7 Questionnaire: Not being able to stop or control worrying ,"Item from the GAD-7 Questionnaire. [Spitzer et al, 2006 (PubMed ID: 16717171)](https://pubmed.ncbi.nlm.nih.gov/16717171/)<br><br>[Search for all GAD-7 Questionnaire variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=gad7)",choices,"",gad,gad7;gad7_02control,"","",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0300,Generalized Anxiety Disorder-7 Questionnaire: Worrying too much about different things ,"Item from the GAD-7 Questionnaire. [Spitzer et al, 2006 (PubMed ID: 16717171)](https://pubmed.ncbi.nlm.nih.gov/16717171/)<br><br>[Search for all GAD-7 Questionnaire variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=gad7)",choices,"",gad,gad7;gad7_03worry,"","",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0400,Generalized Anxiety Disorder-7 Questionnaire: Trouble relaxing ,"Item from the GAD-7 Questionnaire. [Spitzer et al, 2006 (PubMed ID: 16717171)](https://pubmed.ncbi.nlm.nih.gov/16717171/)<br><br>[Search for all GAD-7 Questionnaire variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=gad7)",choices,"",gad,gad7;gad7_04relax,"","",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0500,Generalized Anxiety Disorder-7 Questionnaire: Being so restless that it is hard to sit still ,"Item from the GAD-7 Questionnaire. [Spitzer et al, 2006 (PubMed ID: 16717171)](https://pubmed.ncbi.nlm.nih.gov/16717171/)<br><br>[Search for all GAD-7 Questionnaire variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=gad7)",choices,"",gad,gad7;gad7_05restless,"","",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0600,Generalized Anxiety Disorder-7 Questionnaire: Becoming easily annoyed or irritable ,"Item from the GAD-7 Questionnaire. [Spitzer et al, 2006 (PubMed ID: 16717171)](https://pubmed.ncbi.nlm.nih.gov/16717171/)<br><br>[Search for all GAD-7 Questionnaire variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=gad7)",choices,"",gad,gad7;gad7_06annoy,"","",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0700,"Generalized Anxiety Disorder-7 Questionnaire: Feeling afraid, as if something awful might happen","Item from the GAD-7 Questionnaire. [Spitzer et al, 2006 (PubMed ID: 16717171)](https://pubmed.ncbi.nlm.nih.gov/16717171/)<br><br>[Search for all GAD-7 Questionnaire variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=gad7)",choices,"",gad,gad7;gad7_07afraid,"","",""
General Health/Generalized Anxiety Disorder Questionnaire (GAD-7),gad_0800,Generalized Anxiety Disorder-7 Questionnaire: Total Score,"Calculated - Summary score based on a 7-item questionnaires for generalized anxiety. Scale 0 - 3 for individual items; 0 - 21 for overall score. Scores of 0-5 are categorized as mild anxiety, 6-10 as moderate anxiety, 11-15 as moderately severe anxiety, 15-21 as severe anxiety, respectively. As a screening tool, score of 10 and above suggests further evalution.  [Schwartz, Jandorf & Krupp, 1993 (PubMed ID: 8229906)](https://pubmed.ncbi.nlm.nih.gov/8229906/) <br><br>[Search for all Fatigue Severity Scale variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=fss)",integer,"","",gad7;gad7_total,GADTotal=gad_0100+gad_0200+gad_0300+gad_0400+gad_0500+gad_0600+gad_0700,"",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0100,Patient Health Questionnaire 9: Little interest or pleasure in doing things,Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_01interest,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0200,"Patient Health Questionnaire 9: Feeling down, depressed, or hopeless",Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_02depressed,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0300,"Patient Health Questionnaire 9: Trouble falling or staying asleep, or sleeping too much",Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,insomnia;phq9;phq9_03asleep,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0400,Patient Health Questionnaire 9: Feeling tired or having little energy,Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_04tired,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0500,Patient Health Questionnaire 9: Poor appetite or overeating,Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_05appetite,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0600,Patient Health Questionnaire 9: Feeling bad about yourself,Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_06feelbad,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0700,Patient Health Questionnaire 9: Trouble concentrating,Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_07concentrate,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0800,Patient Health Questionnaire 9: Moving or speaking slowly,Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_08slow,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_0900,Patient Health Questionnaire 9: Thought you would be better off dead,Item from Patient Health Questionnaire 9-item. [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9),choices,"",gad,phq9;phq9_09dead,"","",""
General Health/Patient Health Questionnaire (PHQ-9),phq_1000,Patient Health Questionnaire 9: Total Score,"Summary score for Patient Health Questionnaire 9-item. Each item is scored from 0 to 3, while the total score range from 0 to 27. The PHQ-9 score can be divided into the following categories of increasing severity: Not Clinically significant (0-4), Minimal Symptoms (5-9), Minor depression/Dysthymia/Mild Major Depression (10-14), Moderately Severe Major Depression (15-19), and Severe Major Depression (20-27). [Kroenke K et al. 2001 (PubMED ID: 11556941)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495268/)<br><br> [Search for all PHQ-9 variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=phq9)",integer,"","",phq9;phq9_total,PHQTotal=phq_0100+phq_0200+phq_0300+phq_0400+phq_0500+phq_0600+phq_0700+phq_0800+phq_0900,"",""
General Health,nose_0100,Nasal congestion or stuffiness,"Over the past ONE month, how much of a problem were the following conditions for you?",choices,"",problem,"","","",""
General Health,nose_0200,Nasal blockage or obstruction,"Over the past ONE month, how much of a problem were the following conditions for you?",choices,"",problem,"","","",""
General Health,nose_0300,Trouble breathing through nose,"Over the past ONE month, how much of a problem were the following conditions for you?",choices,"",problem,"","","",""
General Health,nose_0400,Trouble sleeping,"Over the past ONE month, how much of a problem were the following conditions for you?",choices,"",problem,insomnia,"","",""
General Health,nose_0500,Unable to get enough air through nose during exercise or exertion,"Over the past ONE month, how much of a problem were the following conditions for you?",choices,"",problem,"","","",""
General Health,nose_0600,NOSE Total Score,"Over the past ONE month, how much of a problem were the following conditions for you? (0=No Problem, 20=Worst possible problem with nasal obstruction)",integer,"","","",NOSE Total = (nose_0100+nose_0200+nose_0300+nose_0400+nose_0500)*5,"",""
General Health,osa_0100,"Heartburn or belching after going to bed, days per week",During the last three months on how many nights or days per week have you had or been told you had the following (please check only one box per question)?,choices,"",neveronlyfreq5dk,"","","",""
General Health,osa_0200,"Perspire heavily during the night, days per week",During the last three months on how many nights or days per week have you had or been told you had the following (please check only one box per question)?,choices,"",neveronlyfreq5dk,"","","",""
General Health,osa_0300,Dry and/or irritated eyes,During the last three months on how many nights or days per week have you had or been told you had the following (please check only one box per question)?,choices,"",neveronlyfreq5dk,"","","",""
Harmonized/Anthropometry,nsrr_bmi,Body mass index (BMI),"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :dem_0800:",numeric,kilograms per square meter,"",bmi_baseline_1,"",true,""
Harmonized/Demographics,nsrr_age,Subject age,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :modified_dem_0110:",numeric,years,"",age_at_index ,"",true,""
Harmonized/Demographics,nsrr_age_gt89,Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :modified_dem_0110:",choices,"",nsrr_age_gt89,age_at_index_gt89,"",true,""
Harmonized/Demographics,nsrr_ethnicity,Subject ethnicity,"Original missing value is recoded as ""not reported"". <br><br> Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :dem_0900:",choices,"",nsrr_ethnicity,ethnicity,"",true,""
Harmonized/Demographics,nsrr_race,Subject race,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :dem_1000:",choices,"",nsrr_race,race,"",true,""
Harmonized/Demographics,nsrr_sex,Subject sex,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :dem_0500:",choices,"",nsrr_sex,annotated_sex,"",true,""
Harmonized/Lifestyle and Behavioral Health,nsrr_current_smoker,Currently smoking cigarettes,"Indicates whether subject currently smokes cigarettes. <br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :current_cigarette_smoker:",choices,"",nsrr_current_smoker,current_smoker_baseline  ,"",true,""
Harmonized/Lifestyle and Behavioral Health,nsrr_ever_smoker,Ever smoked cigarettes,"Indicates whether subject ever regularly smoked cigarettes. <br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :current_cigarette_smoker: and :former_cigarette_smoker:",choices,"",nsrr_ever_smoker,ever_smoker_baseline  ,"",true,""
Lifestyle and Behavioral Health,bthbts_0100,Bed partner or roommate,Do you have a bed partner or roommate?  ,choices,"",bedpartner,"","","",""
Lifestyle and Behavioral Health,cir_0100,Routinely travel to other time zones,Do you routinely travel to other time zones?,choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,current_cigarette_smoker,"Cigarette smoking, current smoker",Which of the following best describes your use of tobacco products? Current cigarette smoker,choices,"",noyes,"","if index(soclhx_1100, '3') then current_cigarette_smoker = 1; else if soclhx_1100 ne '' then current_cigarette_smoker = 0;","",""
Lifestyle and Behavioral Health,current_smokeless_user,"Smokeless user, current smoker",Which of the following best describes your use of tobacco products? Current smokeless or other tobacco user,choices,"",noyes,"","if index(soclhx_1100, '4') then current_smokeless_user = 1; else if soclhx_1100 ne '' then current_smokeless_user = 0;","",""
Lifestyle and Behavioral Health,diet_0300,Percentage of breakfast among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal (should total 100%) - Breakfast,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0310,Percentage of lunch among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal (should total 100%) - Lunch,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0320,Percentage of dinner among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal (should total 100%) - Dinner,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0330,Percentage of snack 1 among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal (should total 100%) - Snack1,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0340,Food intake - No regular meals,Please approximate the percent of 24 hour food intake for each meal (should total 100%) - I have no regularly scheduled meals,choices,"",noyesnoreg,"","","",""
Lifestyle and Behavioral Health,diet_0350,Percentage of snack 2 among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal - Snack2,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0360,Percentage of snack 3 among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal - Snack3,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0370,Percentage of snack 4 among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal - Snack4,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0380,Percentage of snack 5 among all food intake over 24 hours,Please approximate the percent of 24 hour food intake for each meal - Snack5,numeric,"","","","","",""
Lifestyle and Behavioral Health,diet_0400,Eating impact on alertness/wakefulness,How does eating impact your alertness/wakefulness?,choices,"",sleepiness,"","","",""
Lifestyle and Behavioral Health,diet_0500,Feel more alert if skip lunch,Do you feel more alert if you skip lunch?,choices,"",noyesmeal,"","","",""
Lifestyle and Behavioral Health,diet_0600,Sleep less soundly if skip dinner,Do you sleep less soundly if you skip dinner?,choices,"",noyesmeal,"","","",""
Lifestyle and Behavioral Health,diet_0700,Self-perception of weight,Do you feel?,choices,"",underweight,"","","",""
Lifestyle and Behavioral Health,diet_0800,Usual breakfast time,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0801,Usually no breakfast,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,diet_0810,Usual lunch time,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0811,Usually no lunch,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,diet_0820,Usual dinner time,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0821,Usually no dinner,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,diet_0830,Usual additional meal/snack time1,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0831,Usually no additional meal/snack1,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,diet_0840,Usual additional meal/snack time2,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0841,Usually no additional meal/snack2,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,diet_0850,Usual additional meal/snack time3,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0851,Usually no additional meal/snack3,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,diet_0860,Usual additional meal/snack time4,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0861,Usually no additional meal/snack4,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,diet_0870,Usual additional meal/snack time5,"",numeric,time,"","","","",""
Lifestyle and Behavioral Health,diet_0871,Usually no additional meal/snack5,"",choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,former_cigarette_smoker,"Cigarette smoking, former smoker",Which of the following best describes your use of tobacco products? Former cigarette smoker,choices,"",noyes,"","if index(soclhx_1100, '1') then former_cigarette_smoker = 1; else if soclhx_1100 ne '' then former_cigarette_smoker = 0;","",""
Lifestyle and Behavioral Health,former_smokeless_user,"Smokeless user, former smoker",Which of the following best describes your use of tobacco products? Former smokeless or other tobacco user  ,choices,"",noyes,"","if index(soclhx_1100, '2') then former_smokeless_user = 1; else if soclhx_1100 ne '' then former_smokeless_user = 0;","",""
Lifestyle and Behavioral Health,never_cigarette_smoker,"Cigarette smoking, never smoker",Which of the following best describes your use of tobacco products? Never been a smoker/smoked less than 100 cigarettes in my life ,choices,"",noyes,"","if index(soclhx_1100, '0') then never_cigarette_smoker = 1; else if soclhx_1100 ne '' then never_cigarette_smoker= 0;","",""
Lifestyle and Behavioral Health,soclhx_0501,"Exercise, rarely or never",How often do you exercise?  I rarely or never exercise,choices,"",noyes,"","","",""
